type_name,display_name,exercise_id,metadata_summary,metadata_json
LISTEN_SENTENCE_QA,"听录音, 句子问答",00abf5b1-659b-49b7-977b-8cfe19de6804,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请先听录音，然后选择正确答案。"", ""options"": [{""text"": ""我已经喝完了饮料。"", ""label"": ""A"", ""pinyin"": ""wǒ yǐ jīng hē wán le yǐn liào 。""}, {""text"": ""你想喝点什么饮料吗？"", ""label"": ""B"", ""pinyin"": ""nǐ xiǎng hē diǎn shén me yǐn liào ma ？""}, {""text"": ""我不要喝饮料。"", ""label"": ""C"", ""pinyin"": ""wǒ bú yào hē yǐn liào 。""}], ""audioUrl"": null, ""question"": ""说话人想表达什么意思？"", ""listeningText"": ""要喝点什么饮料吗？""}, ""correctAnswer"": ""B""}"
LISTEN_SENTENCE_QA,"听录音, 句子问答",0128ffbc-7fce-483d-aed3-85810c2d781d,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请先听录音，然后选择正确答案。"", ""options"": [{""text"": ""15.85元"", ""label"": ""A"", ""pinyin"": ""15.85 yuán""}, {""text"": ""15.80元"", ""label"": ""B"", ""pinyin"": ""15.80 yuán""}, {""text"": ""15.05元"", ""label"": ""C"", ""pinyin"": ""15.05 yuán""}], ""audioUrl"": null, ""question"": ""这句话中的菜价是多少元？"", ""listeningText"": ""那个菜是十五元八角五分。""}, ""correctAnswer"": ""A""}"
LISTEN_SENTENCE_TF,"听录音, 句子判断",00918762-5ecc-4883-85c4-d408ce3bac1f,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请先听录音，再判断下列陈述是否正确。"", ""audioUrl"": null, ""statement"": ""说话人觉得苹果不好吃。"", ""listeningText"": ""谢谢！苹果好好吃哦。""}, ""correctAnswer"": false}"
LISTEN_SENTENCE_TF,"听录音, 句子判断",00b6e5a5-78a6-4f63-83ca-2694d415d4a5,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请先听录音，再判断下列陈述是否正确。"", ""audioUrl"": null, ""statement"": ""CA872航班的票价是780元，飞行时长为2小时10分钟。"", ""listeningText"": ""CA872最便宜，¥780，飞行时间2小时10分；""}, ""correctAnswer"": true}"
READ_SENTENCE_COMPREHENSION_CHOICE,句子理解(选择),000e7cdd-5951-40a4-8670-4caa20b3e492,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请阅读短文，选择最符合语义的一项。"", ""options"": [{""text"": ""因为公交车更快。"", ""label"": ""A"", ""pinyin"": ""yīn wèi gōng jiāo chē gèng kuài 。""}, {""text"": ""因为那边堵车。"", ""label"": ""B"", ""pinyin"": ""yīn wèi nà biān dǔ chē 。""}, {""text"": ""因为地铁坏了。"", ""label"": ""C"", ""pinyin"": ""yīn wèi dì tiě huài le 。""}], ""passage"": ""后来发现那边堵车，就换乘了公交车。"", ""question"": ""说话人为什么换乘公交车？""}, ""correctAnswer"": ""B""}"
READ_SENTENCE_COMPREHENSION_CHOICE,句子理解(选择),006d751b-d344-4820-a045-1346a2a57e36,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请阅读短文，选择最符合语义的一项。"", ""options"": [{""text"": ""红烧肉可以在38分钟内做好。"", ""label"": ""A"", ""pinyin"": ""hóng shāo ròu kě yǐ zài 38 fēn zhōng nèi zuò hǎo 。""}, {""text"": ""餐厅的招牌菜是米饭。"", ""label"": ""B"", ""pinyin"": ""cān tīng de zhāo pái cài shì mǐ fàn 。""}, {""text"": ""红烧肉配米饭是招牌菜，售价38元。"", ""label"": ""C"", ""pinyin"": ""hóng shāo ròu pèi mǐ fàn shì zhāo pái cài ， shòu jià 38 yuán 。""}], ""passage"": ""红烧肉配米饭是我们的招牌菜，价格是38元。"", ""question"": ""这句话主要介绍了什么？""}, ""correctAnswer"": ""C""}"
READ_SENTENCE_ORDER,连句成段,009b58b0-22f1-4c42-a02e-d8258a5a9286,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请将下列句子按正确顺序排列成段。"", ""sentences"": [{""text"": ""调整后的味道会更清淡一些，但依然很美味。"", ""label"": ""1""}, {""text"": ""其实甜味能中和辣味，让口感更丰富。"", ""label"": ""2""}, {""text"": ""这道菜本来偏甜，因为厨师放了点蜂蜜调味。"", ""label"": ""3""}, {""text"": ""很多客人试过都说这样的搭配很特别。"", ""label"": ""4""}, {""text"": ""如果您不喜欢太甜，我们可以完全不加蜂蜜。"", ""label"": ""5""}]}, ""correctAnswer"": [""3"", ""5"", ""1"", ""2"", ""4""]}"
READ_SENTENCE_ORDER,连句成段,01d649f9-36cd-4d27-8a22-198658153382,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请将下列句子按正确顺序排列成段。"", ""sentences"": [{""text"": ""广播的声音让车站显得更加有序。"", ""label"": ""1""}, {""text"": ""候车时，小李再次听到了广播。"", ""label"": ""2""}, {""text"": ""广播里清晰地播报着各线路的到站信息。"", ""label"": ""3""}, {""text"": ""他仔细听着，确认自己没有坐错方向。"", ""label"": ""4""}]}, ""correctAnswer"": [""2"", ""3"", ""4"", ""1""]}"
READ_SENTENCE_TF,句子理解(判断),002df057-21d3-4432-8094-2b69bed238ef,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请阅读短文，判断陈述是否正确。"", ""passage"": ""我很好，谢谢！老师好。"", ""statement"": ""说话人向老师道别。""}, ""correctAnswer"": false}"
READ_SENTENCE_TF,句子理解(判断),0043e8e7-f2bf-4e33-ac87-4a0c082ac185,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请阅读短文，判断陈述是否正确。"", ""passage"": ""可以用手机支付吗？"", ""statement"": ""可以用手机支付。""}, ""correctAnswer"": true}"
READ_SENTENCE_TRANSLATION,句子翻译,0091de65-d0f0-4229-9593-6f7033196fba,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请阅读中文句子，并给出对应英文翻译。"", ""sentenceCn"": ""米饭和菜要多少钱？""}, ""correctAnswer"": ""How much are the rice and dishes?""}"
READ_SENTENCE_TRANSLATION,句子翻译,00ba30fe-3bc2-46e8-b106-df4c0e39360e,"{""keys"": [""content"", ""correctAnswer""]}","{""content"": {""prompt"": ""请阅读中文句子，并给出对应英文翻译。"", ""sentenceCn"": ""前面左转就到地铁站了。""}, ""correctAnswer"": ""Turn left ahead and you'll get to the subway station.""}"
